license,count,sum
apache-2.0,19827,111918865
mit,8056,73822497
creativeml-openrail-m,2053,5136780
openrail,1473,19781
afl-3.0,1437,6557
cc-by-4.0,1407,2453104
other,888,1265503
cc-by-sa-4.0,501,4101406
unknown,450,7817
cc-by-nc-sa-4.0,447,4687884
cc-by-nc-4.0,405,3393418
gpl-3.0,291,520126
artistic-2.0,271,311
cc,260,867
bigscience-bloom-rail-1.0,170,152176
bsd-3-clause,158,439612
cc0-1.0,150,15140
bigscience-openrail-m,106,360
wtfpl,104,240
agpl-3.0,73,14645
unlicense,66,1192
gpl,56,148
bsl-1.0,47,0
openrail++,35,3055682
cc-by-sa-3.0,32,1304
cc-by-3.0,32,730
bsd-2-clause,30,49
bsd,30,2444
lgpl-3.0,22,1425
gpl-2.0,22,45
cc-by-nc-3.0,21,1165
osl-3.0,16,31
cc-by-2.0,16,17449
cc-by-nc-nd-4.0,15,492
cc-by-nc-sa-3.0,13,526
lgpl-lr,11,126
lgpl,11,1188
pddl,11,0
ecl-2.0,11,5
bsd-3-clause-clear,11,0
c-uda,10,0
isc,8,44
gfdl,8,0
cc-by-nd-4.0,8,9
mpl-2.0,6,23
odbl,5,0
odc-by,5,69
cc-by-nc-2.0,4,0
zlib,4,0
ms-pl,4,0
ncsa,3,0
cc-by-nc-sa-2.0,3,0
epl-1.0,2,0
cc-by-nc-nd-3.0,2,0
cc-by-2.5,2,0
lgpl-2.1,1,0
epl-2.0,1,0
postgresql,1,0
lppl-1.3c,1,0
eupl-1.1,1,5
ofl-1.1,1,0
